1,Mountain Mac,11:00-19:00,+41 81 378 84 4,tschuggenhuette@arosabergbahnen.ch,http://www.tschuggenhuette.ch/,Restaurant_Lenzerheide_Bild/Moutain Mac_11512538.png,55,010100002008080000080DC6ECD32145411F8CC4F90D0F3241
2,Stüva Arosa,09:00-23:00,+41 81 377 81 1,info@stueva.ch,https://www.stueva.ch,Restaurant_Lenzerheide_Bild/Stueva Arosa Terrasse 1_16836465.png,55,01010000200808000007D55E3C25224541AA49D8181D0D3241
3,Alpenblick Bergrestaurant und Terrasse,11:00-18:00,+41 81 377 14 2,post@alpenblickarosa.ch,https://alpenblickarosa.ch,Restaurant_Lenzerheide_Bild/Alpenblick Terrasse_9649683.png,55,010100002008080000C18AFF7BC71F45415E73B34BF80A3241
4,Restaurant Hold,07:30-23:59,+41 81 378 40 2,info@holdarosa.ch,https://www.holdarosa.ch,Restaurant_Lenzerheide_Bild/1_356011.png,55,01010000200808000012AC80C41A22454121F010D1880C3241
5,Maraner Stube,09:00-22:00,+41 81 378 51 5,hotel@hofmaran.ch,https://hofmaran.ch,Restaurant_Lenzerheide_Bild/Stube_12391694.png,55,0101000020080800003EBC632F82244541EF72078983143241
6,Isblaatere,10:30-18:30,+41 81 378 51 0,isblaatere@hofmaran.ch,https://hofmaran.ch,Restaurant_Lenzerheide_Bild/Isblaatere aussen_12390414.png,55,0101000020080800006BF8724971244541F5457ED339143241
7,Restaurant Burestübli,08:00-23:00,+41 81 377 18 3,arlenwald@bluewin.ch,https://www.arlenwaldhotel.ch,Restaurant_Lenzerheide_Bild/1_362443.png,55,010100002008080000540B0FAA962345410652B73D1F133241
8,Restaurant Erzhorn,08:00-22:00,+41 81 377 15 2,info@erzhorn.ch,http://www.erzhorn.ch,Restaurant_Lenzerheide_Bild/wi_355955.png,55,01010000200808000010315C655F2145418ED97845B00C3241
9,Gspan - Restaurant,09:00-23:00,+41 81 377 14 9,gspan@bluewin.ch,https://gspan.ch,Restaurant_Lenzerheide_Bild/Gspan Winter aussen_553118.png,55,010100002008080000272FFE1E2D214541507B3674980C3241
10,Prätschli-Stall,15:00-23:00,+41 81 378 80 8,info@praetschli.ch,https://praetschli.ch,Restaurant_Lenzerheide_Bild/Stall_15782855.png,55,010100002008080000901AF247AC23454114AB869B98133241
